Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
denglu-copy,Chrome 72.0.3626.81,,2019-02-22 10:02:55,2019-02-22 10:03:07,12.168s,PASSED
,,,,,,
Test Cases/denglu - Copy,Chrome 72.0.3626.81,,2019-02-22 10:02:55,2019-02-22 10:03:07,11.981s,PASSED
"openBrowser("""")",Chrome 72.0.3626.81,,2019-02-22 10:02:55,2019-02-22 10:02:58,3.304s,PASSED
"navigateToUrl(""http://192.168.6.64/#/"")",Chrome 72.0.3626.81,,2019-02-22 10:02:58,2019-02-22 10:03:01,2.261s,PASSED
"setText(findTestObject(""Object Repository/denglu/Page_VisionStack/input__username""), ""admin"")",Chrome 72.0.3626.81,,2019-02-22 10:03:01,2019-02-22 10:03:01,0.154s,PASSED
"setEncryptedText(findTestObject(""Object Repository/denglu/Page_VisionStack/input__password""), ""MjBx0EvJu5YFFplPJZ1HyA=="")",Chrome 72.0.3626.81,,2019-02-22 10:03:01,2019-02-22 10:03:01,0.151s,PASSED
"click(findTestObject(""Object Repository/denglu/Page_VisionStack/button_""))",Chrome 72.0.3626.81,,2019-02-22 10:03:01,2019-02-22 10:03:01,0.085s,PASSED
waitForAlert(5),Chrome 72.0.3626.81,,2019-02-22 10:03:01,2019-02-22 10:03:06,5.084s,PASSED
"verifyElementText(findTestObject(""yanzheg/Page_VisionStack/denglu1""), ""admin"")",Chrome 72.0.3626.81,,2019-02-22 10:03:06,2019-02-22 10:03:06,0.038s,PASSED
closeBrowser(),Chrome 72.0.3626.81,,2019-02-22 10:03:06,2019-02-22 10:03:07,0.640s,PASSED
