Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
fuzai1,Chrome 72.0.3626.81,,2019-02-21 10:58:23,2019-02-21 10:59:11,47.516s,PASSED
,,,,,,
Test Cases/fuzai1,Chrome 72.0.3626.81,,2019-02-21 10:58:23,2019-02-21 10:58:47,23.385s,PASSED
"openBrowser("""")",Chrome 72.0.3626.81,,2019-02-21 10:58:23,2019-02-21 10:58:27,3.342s,PASSED
"navigateToUrl(""http://192.168.6.64/#/"")",Chrome 72.0.3626.81,,2019-02-21 10:58:27,2019-02-21 10:58:31,3.934s,PASSED
"setText(findTestObject(""fuzai1/Page_VisionStack/input__username""), ""admin"")",Chrome 72.0.3626.81,,2019-02-21 10:58:31,2019-02-21 10:58:31,0.130s,PASSED
"setEncryptedText(findTestObject(""fuzai1/Page_VisionStack/input__password""), ""MjBx0EvJu5YFFplPJZ1HyA=="")",Chrome 72.0.3626.81,,2019-02-21 10:58:31,2019-02-21 10:58:31,0.161s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/button_ - Copy""), STOP_ON_FAILURE)",Chrome 72.0.3626.81,,2019-02-21 10:58:31,2019-02-21 10:58:31,0.066s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/div_""))",Chrome 72.0.3626.81,,2019-02-21 10:58:31,2019-02-21 10:58:33,2.117s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/li_""))",Chrome 72.0.3626.81,,2019-02-21 10:58:33,2019-02-21 10:58:33,0.197s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/button_""))",Chrome 72.0.3626.81,,2019-02-21 10:58:33,2019-02-21 10:58:34,0.612s,PASSED
"setText(findTestObject(""fuzai1/Page_VisionStack/input__el-input__inner""), test)",Chrome 72.0.3626.81,,2019-02-21 10:58:34,2019-02-21 10:58:34,0.210s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/i__el-select__caret el-input__""))",Chrome 72.0.3626.81,,2019-02-21 10:58:34,2019-02-21 10:58:34,0.108s,PASSED
waitForAlert(3),Chrome 72.0.3626.81,,2019-02-21 10:58:34,2019-02-21 10:58:37,3.069s,PASSED
