Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
fuzai1,Chrome 72.0.3626.81,,2019-02-20 15:08:04,2019-02-20 15:09:10,1m - 6.317s,PASSED
,,,,,,
Test Cases/fuzai1,Chrome 72.0.3626.81,,2019-02-20 15:08:05,2019-02-20 15:08:26,21.402s,PASSED
"openBrowser("""")",Chrome 72.0.3626.81,,2019-02-20 15:08:05,2019-02-20 15:08:08,3.341s,PASSED
"navigateToUrl(""http://192.168.6.64/#/"")",Chrome 72.0.3626.81,,2019-02-20 15:08:08,2019-02-20 15:08:10,2.087s,PASSED
"setText(findTestObject(""fuzai1/Page_VisionStack/input__username""), ""admin"")",Chrome 72.0.3626.81,,2019-02-20 15:08:10,2019-02-20 15:08:10,0.145s,PASSED
"setEncryptedText(findTestObject(""fuzai1/Page_VisionStack/input__password""), ""MjBx0EvJu5YFFplPJZ1HyA=="")",Chrome 72.0.3626.81,,2019-02-20 15:08:10,2019-02-20 15:08:10,0.147s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/button_ - Copy""), STOP_ON_FAILURE)",Chrome 72.0.3626.81,,2019-02-20 15:08:10,2019-02-20 15:08:11,0.074s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/div_""))",Chrome 72.0.3626.81,,2019-02-20 15:08:11,2019-02-20 15:08:13,2.108s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/li_""))",Chrome 72.0.3626.81,,2019-02-20 15:08:13,2019-02-20 15:08:13,0.214s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/button_""))",Chrome 72.0.3626.81,,2019-02-20 15:08:13,2019-02-20 15:08:13,0.611s,PASSED
"setText(findTestObject(""fuzai1/Page_VisionStack/input__el-input__inner""), test)",Chrome 72.0.3626.81,,2019-02-20 15:08:13,2019-02-20 15:08:14,0.206s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/i__el-select__caret el-input__""))",Chrome 72.0.3626.81,,2019-02-20 15:08:14,2019-02-20 15:08:14,0.110s,PASSED
waitForAlert(3),Chrome 72.0.3626.81,,2019-02-20 15:08:14,2019-02-20 15:08:17,3.063s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/li_590""))",Chrome 72.0.3626.81,,2019-02-20 15:08:17,2019-02-20 15:08:17,0.116s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/i__el-select__caret el-input___1""))",Chrome 72.0.3626.81,,2019-02-20 15:08:17,2019-02-20 15:08:17,0.082s,PASSED
waitForAlert(3),Chrome 72.0.3626.81,,2019-02-20 15:08:17,2019-02-20 15:08:20,3.032s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/li__1""))",Chrome 72.0.3626.81,,2019-02-20 15:08:20,2019-02-20 15:08:20,0.073s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/button__1""))",Chrome 72.0.3626.81,,2019-02-20 15:08:20,2019-02-20 15:08:20,0.068s,PASSED
"verifyElementPresent(findTestObject(""fuzai1/Page_VisionStack/input__el-input__inner""), 0)",Chrome 72.0.3626.81,,2019-02-20 15:08:20,2019-02-20 15:08:20,0.021s,PASSED
waitForAlert(5),Chrome 72.0.3626.81,,2019-02-20 15:08:20,2019-02-20 15:08:25,5.052s,PASSED
closeBrowser(),Chrome 72.0.3626.81,,2019-02-20 15:08:25,2019-02-20 15:08:26,0.639s,PASSED
,,,,,,
Test Cases/fuzai1,Chrome 72.0.3626.81,,2019-02-20 15:08:26,2019-02-20 15:08:50,24.420s,PASSED
"openBrowser("""")",Chrome 72.0.3626.81,,2019-02-20 15:08:26,2019-02-20 15:08:28,2.257s,PASSED
"navigateToUrl(""http://192.168.6.64/#/"")",Chrome 72.0.3626.81,,2019-02-20 15:08:28,2019-02-20 15:08:35,6.609s,PASSED
"setText(findTestObject(""fuzai1/Page_VisionStack/input__username""), ""admin"")",Chrome 72.0.3626.81,,2019-02-20 15:08:35,2019-02-20 15:08:35,0.122s,PASSED
"setEncryptedText(findTestObject(""fuzai1/Page_VisionStack/input__password""), ""MjBx0EvJu5YFFplPJZ1HyA=="")",Chrome 72.0.3626.81,,2019-02-20 15:08:35,2019-02-20 15:08:35,0.112s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/button_ - Copy""), STOP_ON_FAILURE)",Chrome 72.0.3626.81,,2019-02-20 15:08:35,2019-02-20 15:08:35,0.055s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/div_""))",Chrome 72.0.3626.81,,2019-02-20 15:08:35,2019-02-20 15:08:37,2.113s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/li_""))",Chrome 72.0.3626.81,,2019-02-20 15:08:37,2019-02-20 15:08:37,0.157s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/button_""))",Chrome 72.0.3626.81,,2019-02-20 15:08:37,2019-02-20 15:08:38,0.621s,PASSED
"setText(findTestObject(""fuzai1/Page_VisionStack/input__el-input__inner""), test)",Chrome 72.0.3626.81,,2019-02-20 15:08:38,2019-02-20 15:08:38,0.185s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/i__el-select__caret el-input__""))",Chrome 72.0.3626.81,,2019-02-20 15:08:38,2019-02-20 15:08:38,0.104s,PASSED
waitForAlert(3),Chrome 72.0.3626.81,,2019-02-20 15:08:38,2019-02-20 15:08:41,3.031s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/li_590""))",Chrome 72.0.3626.81,,2019-02-20 15:08:41,2019-02-20 15:08:41,0.065s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/i__el-select__caret el-input___1""))",Chrome 72.0.3626.81,,2019-02-20 15:08:41,2019-02-20 15:08:41,0.090s,PASSED
waitForAlert(3),Chrome 72.0.3626.81,,2019-02-20 15:08:41,2019-02-20 15:08:45,3.029s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/li__1""))",Chrome 72.0.3626.81,,2019-02-20 15:08:45,2019-02-20 15:08:45,0.073s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/button__1""))",Chrome 72.0.3626.81,,2019-02-20 15:08:45,2019-02-20 15:08:45,0.087s,PASSED
"verifyElementPresent(findTestObject(""fuzai1/Page_VisionStack/input__el-input__inner""), 0)",Chrome 72.0.3626.81,,2019-02-20 15:08:45,2019-02-20 15:08:45,0.015s,PASSED
waitForAlert(5),Chrome 72.0.3626.81,,2019-02-20 15:08:45,2019-02-20 15:08:50,5.046s,PASSED
closeBrowser(),Chrome 72.0.3626.81,,2019-02-20 15:08:50,2019-02-20 15:08:50,0.637s,PASSED
,,,,,,
Test Cases/fuzai1,Chrome 72.0.3626.81,,2019-02-20 15:08:50,2019-02-20 15:09:10,20.032s,PASSED
"openBrowser("""")",Chrome 72.0.3626.81,,2019-02-20 15:08:50,2019-02-20 15:08:53,2.250s,PASSED
"navigateToUrl(""http://192.168.6.64/#/"")",Chrome 72.0.3626.81,,2019-02-20 15:08:53,2019-02-20 15:08:55,2.199s,PASSED
"setText(findTestObject(""fuzai1/Page_VisionStack/input__username""), ""admin"")",Chrome 72.0.3626.81,,2019-02-20 15:08:55,2019-02-20 15:08:55,0.142s,PASSED
"setEncryptedText(findTestObject(""fuzai1/Page_VisionStack/input__password""), ""MjBx0EvJu5YFFplPJZ1HyA=="")",Chrome 72.0.3626.81,,2019-02-20 15:08:55,2019-02-20 15:08:55,0.103s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/button_ - Copy""), STOP_ON_FAILURE)",Chrome 72.0.3626.81,,2019-02-20 15:08:55,2019-02-20 15:08:55,0.059s,PASSED
"click(findTestObject(""fuzai1/Page_VisionStack/div_""))",Chrome 72.0.3626.81,,2019-02-20 15:08:55,2019-02-20 15:08:57,2.098s,PASSED
